id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,ingestion_time
bitcoin,btc,Bitcoin,https://coin-images.coingecko.com/coins/images/1/large/bitcoin.png?1696501400,116068.0,2312540437665,1,2312540437665,50621455617.0,116705.0,114838.0,413.75,0.35775,9032886918.0,0.39214,19919928.0,19919928.0,21000000.0,124128.0,-6.47634,2025-08-14T00:37:02.582Z,67.81,171100.11998,2013-07-06T00:00:00.000Z,,2025-09-13T00:07:50.919Z,2025-09-12 19:09:16.880053
ethereum,eth,Ethereum,https://coin-images.coingecko.com/coins/images/279/large/ethereum.png?1696501628,4702.8,568213755602,2,568213755602,39325386752.0,4721.04,4454.38,246.31,5.52693,29356807353.0,5.44798,120704774.8242105,120704774.8242105,,4946.05,-4.683,2025-08-24T19:21:03.333Z,0.432979,1088734.88203,2015-10-20T00:00:00.000Z,"{'times': 53.172458638641025, 'currency': 'btc', 'percentage': 5317.245863864103}",2025-09-13T00:07:50.884Z,2025-09-12 19:09:16.880053
ripple,xrp,XRP,https://coin-images.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1696501442,3.1,185178574184,3,310605025049,6381681287.0,3.13,3.02,0.062539,2.05846,3858471459.0,2.12799,59610205486.0,99985808022.0,100000000000.0,3.65,-14.76846,2025-07-18T03:40:53.808Z,0.00268621,115597.12958,2014-05-22T00:00:00.000Z,,2025-09-13T00:07:47.728Z,2025-09-12 19:09:16.880053
tether,usdt,Tether,https://coin-images.coingecko.com/coins/images/325/large/Tether.png?1696501661,1.001,169645971654,4,169645971654,110808530593.0,1.001,1.0,0.00023852,0.02384,211938913.0,0.12509,169537170238.5928,169537170238.5928,,1.32,-24.37028,2018-07-24T00:00:00.000Z,0.572521,74.78018,2015-03-02T00:00:00.000Z,,2025-09-13T00:07:47.987Z,2025-09-12 19:09:16.880053
solana,sol,Solana,https://coin-images.coingecko.com/coins/images/4128/large/solana.png?1718769756,241.96,131376426106,5,147643307029,13607662434.0,243.62,228.34,13.27,5.80423,7348673201.0,5.92502,542445710.8964975,609610727.0862707,,293.31,-17.41911,2025-01-19T11:15:27.957Z,0.500801,48266.42343,2020-05-11T19:35:23.449Z,,2025-09-13T00:07:47.722Z,2025-09-12 19:09:16.880053
binancecoin,bnb,BNB,https://coin-images.coingecko.com/coins/images/825/large/bnb-icon2_2x.png?1696501970,925.28,128796939808,6,128796939808,1588508685.0,928.67,902.3,22.28,2.46765,3113196560.0,2.47701,139187142.9,139187142.9,200000000.0,928.67,-0.35955,2025-09-12T22:27:49.562Z,0.0398177,2323830.35187,2017-10-19T00:00:00.000Z,,2025-09-13T00:07:47.591Z,2025-09-12 19:09:16.880053
usd-coin,usdc,USDC,https://coin-images.coingecko.com/coins/images/6319/large/usdc.png?1696506694,0.99981,72975057450,7,72996896012,11814284505.0,0.999827,0.999619,-1.257127682286e-06,-0.00013,535794890.0,0.73965,72988927226.84425,73010769939.04393,,1.17,-14.74335,2019-05-08T00:40:28.300Z,0.877647,13.91943,2023-03-11T08:02:13.981Z,,2025-09-13T00:07:47.989Z,2025-09-12 19:09:16.880053
dogecoin,doge,Dogecoin,https://coin-images.coingecko.com/coins/images/5/large/dogecoin.png?1696501409,0.274693,41580081169,8,41585297366,4596210821.0,0.277548,0.255225,0.01924582,7.53418,2972886491.0,7.70034,150897466383.7052,150916396383.7052,,0.731578,-62.34796,2021-05-08T05:08:23.458Z,8.69e-05,316864.52439,2015-05-06T00:00:00.000Z,,2025-09-13T00:07:47.585Z,2025-09-12 19:09:16.880053
staked-ether,steth,Lido Staked Ether,https://coin-images.coingecko.com/coins/images/13442/large/steth_logo.png?1696513206,4694.78,40467928605,9,40467928605,45650765.0,4713.35,4447.12,245.62,5.5205,2073621879.0,5.40086,8618230.277884591,8618230.277884591,,4932.89,-4.74332,2025-08-24T19:21:31.902Z,482.9,873.06841,2020-12-22T04:08:21.854Z,,2025-09-13T00:07:47.294Z,2025-09-12 19:09:16.880053
cardano,ada,Cardano,https://coin-images.coingecko.com/coins/images/975/large/cardano.png?1696502090,0.918294,33503485123,10,41295200781,1810562300.0,0.918276,0.884587,0.02475915,2.77092,865611004.0,2.65217,36509250518.60805,45000000000.0,45000000000.0,3.09,-70.27837,2021-09-02T06:00:10.474Z,0.01925275,4665.45064,2020-03-13T02:22:55.044Z,,2025-09-13T00:07:47.700Z,2025-09-12 19:09:16.880053
