id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,ingestion_time
bitcoin,btc,Bitcoin,https://coin-images.coingecko.com/coins/images/1/large/bitcoin.png?1696501400,111811.0,2227348826144,1,2227352626856,42991361251.0,113301.0,111644.0,-725.3644928246649,-0.64456,-14410410698.96289,-0.64282,19925178.0,19925212.0,21000000.0,124128.0,-9.93383,2025-08-14T00:37:02.582Z,67.81,164771.00228,2013-07-06T00:00:00.000Z,,2025-09-23T19:02:26.494Z,2025-09-23 14:04:22.231869
ethereum,eth,Ethereum,https://coin-images.coingecko.com/coins/images/279/large/ethereum.png?1696501628,4161.69,501302497508,2,501302497508,27097013515.0,4220.47,4125.36,3.22,0.07742,-740537853.4696655,-0.1475,120703750.4739188,120703750.4739188,,4946.05,-15.96823,2025-08-24T19:21:03.333Z,0.432979,959820.30537,2015-10-20T00:00:00.000Z,"{'times': 48.75310281972685, 'currency': 'btc', 'percentage': 4875.310281972685}",2025-09-23T19:02:24.580Z,2025-09-23 14:04:22.231869
tether,usdt,Tether,https://coin-images.coingecko.com/coins/images/325/large/Tether.png?1696501661,1.0,172790050586,3,172790050586,86707725065.0,1.001,1.0,-0.000399519853773622,-0.03992,654117211.0,0.38,172747121547.1051,172747121547.1051,,1.32,-24.40297,2018-07-24T00:00:00.000Z,0.572521,74.70464,2015-03-02T00:00:00.000Z,,2025-09-23T19:02:21.921Z,2025-09-23 14:04:22.231869
ripple,xrp,XRP,https://coin-images.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1696501442,2.85,169986522378,4,284326242552,4127992813.0,2.89,2.81,0.00905571,0.31917,375652189.0,0.22148,59777241479.0,99985800180.0,100000000000.0,3.65,-21.98893,2025-07-18T03:40:53.808Z,0.00268621,105795.73489,2014-05-22T00:00:00.000Z,,2025-09-23T19:02:21.339Z,2025-09-23 14:04:22.231869
binancecoin,bnb,BNB,https://coin-images.coingecko.com/coins/images/825/large/bnb-icon2_2x.png?1696501970,1010.43,140629910686,5,140629909666,1854565484.0,1024.78,965.16,22.69,2.29762,3244182914.0,2.36137,139186182.51,139186181.5,200000000.0,1079.07,-6.44156,2025-09-21T02:07:58.820Z,0.0398177,2535348.13879,2017-10-19T00:00:00.000Z,,2025-09-23T19:02:21.214Z,2025-09-23 14:04:22.231869
solana,sol,Solana,https://coin-images.coingecko.com/coins/images/4128/large/solana.png?1718769756,215.7,117211964491,6,131676014836,6142758443.0,221.24,212.94,-3.967422497002133,-1.80614,-2230346835.0097504,-1.8673,543276905.5287465,610317711.0196819,,293.31,-26.46202,2025-01-19T11:15:27.957Z,0.500801,42970.12157,2020-05-11T19:35:23.449Z,,2025-09-23T19:02:21.228Z,2025-09-23 14:04:22.231869
usd-coin,usdc,USDC,https://coin-images.coingecko.com/coins/images/6319/large/usdc.png?1696506694,0.999612,74041160195,7,74029167564,8716375363.0,0.999805,0.999526,-9.5724559131205e-05,-0.00958,163196175.0,0.2209,74069933374.18063,74057936082.19165,,1.17,-14.76026,2019-05-08T00:40:28.300Z,0.877647,13.89683,2023-03-11T08:02:13.981Z,,2025-09-23T19:02:21.702Z,2025-09-23 14:04:22.231869
dogecoin,doge,Dogecoin,https://coin-images.coingecko.com/coins/images/5/large/dogecoin.png?1696501409,0.237561,35862224981,8,35862224981,2059729819.0,0.242758,0.235129,-0.000611032735796463,-0.25655,-134247131.79306793,-0.37295,151063916383.7052,151063916383.7052,,0.731578,-67.5441,2021-05-08T05:08:23.458Z,8.69e-05,273122.0548,2015-05-06T00:00:00.000Z,,2025-09-23T19:02:28.339Z,2025-09-23 14:04:22.231869
staked-ether,steth,Lido Staked Ether,https://coin-images.coingecko.com/coins/images/13442/large/steth_logo.png?1696513206,4154.2,35404445107,9,35404459695,34045668.0,4218.62,4123.36,-1.24978818400632,-0.03008,-87906527.79148865,-0.24768,8534683.165163452,8534686.681974323,,4932.89,-15.78297,2025-08-24T19:21:31.902Z,482.9,760.29591,2020-12-22T04:08:21.854Z,,2025-09-23T19:02:20.909Z,2025-09-23 14:04:22.231869
tron,trx,TRON,https://coin-images.coingecko.com/coins/images/1094/large/tron-logo.png?1696502193,0.335831,31788719205,10,31788719424,616729812.0,0.341673,0.334878,-0.005471181674284009,-1.60303,-518701700.62312317,-1.60552,94665662182.29662,94665662834.47762,,0.431288,-22.14685,2024-12-04T00:10:40.323Z,0.00180434,18509.09011,2017-11-12T00:00:00.000Z,"{'times': 175.7531641333676, 'currency': 'usd', 'percentage': 17575.316413336757}",2025-09-23T19:02:21.182Z,2025-09-23 14:04:22.231869
